nid_oferta,nid_instrument,uid,position
0,4,0,2
0,15,0,1
0,17,0,0
1,3,0,2
1,4,19,1
2,3,0,2
2,15,0,1
3,2,19,2
3,15,13,1
5,4,0,2
5,15,19,1
6,3,0,1
6,15,0,2
7,4,0,2
7,15,0,1
8,3,0,2
9,19,0,1
10,4,0,2
10,15,0,1
10,17,0,0
11,3,0,1
11,3,0,2
11,16,0,0
13,0,0,0
13,3,0,2
13,15,0,1
14,4,0,1
14,15,0,2
14,20,0,0
